Year,Month,Region,Province/HUC/ICC,Cases
2017,4,4B,ROMBLON,1
2017,4,BARMM,BASILAN,20
2017,4,BARMM,COTABATO CITY,17
2017,4,BARMM,LANAO DEL SUR,1
2017,4,BARMM,SULU,4
2017,4,BARMM,TAWI-TAWI,4
2017,4,CAR,ABRA,2
2017,4,CAR,APAYAO,6
2017,4,CAR,BAGUIO CITY,5
2017,4,CAR,BENGUET,27
2017,4,CAR,IFUGAO,2
2017,4,CAR,KALINGA,21
2017,4,CARAGA,AGUSAN DEL NORTE,18
2017,4,CARAGA,AGUSAN DEL SUR,31
2017,4,CARAGA,BUTUAN CITY,26
2017,4,CARAGA,DINAGAT ISLANDS,2
2017,4,CARAGA,SURIGAO DEL NORTE,39
2017,4,CARAGA,SURIGAO DEL SUR,55
2017,4,NCR,CALOOCAN CITY,68
2017,4,NCR,CITY OF LAS PIÑAS,12
2017,4,NCR,CITY OF MAKATI,25
2017,4,NCR,CITY OF MALABON,16
2017,4,NCR,CITY OF MANDALUYONG,12
2017,4,NCR,CITY OF MANILA,93
2017,4,NCR,CITY OF MARIKINA,14
2017,4,NCR,CITY OF MUNTINLUPA,4
2017,4,NCR,CITY OF NAVOTAS,10
2017,4,NCR,CITY OF PARAÑAQUE,29
2017,4,NCR,CITY OF PASIG,28
2017,4,NCR,CITY OF SAN JUAN,7
2017,4,NCR,CITY OF VALENZUELA,23
2017,4,NCR,PASAY CITY,4
2017,4,NCR,QUEZON CITY,212
2017,4,NCR,TAGUIG CITY,16
2017,5,1,DAGUPAN CITY,17
2017,5,1,ILOCOS NORTE,14
2017,5,1,ILOCOS SUR,32
2017,5,1,LA UNION,24
2017,5,1,PANGASINAN,129
2017,5,2,CAGAYAN,22
2017,5,2,CITY OF SANTIAGO,12
2017,5,2,ISABELA,41
2017,5,2,NUEVA VIZCAYA,72
2017,5,2,QUIRINO,1
2017,5,3,ANGELES CITY,11
2017,5,3,AURORA,19
2017,5,3,BATAAN,43
2017,5,3,BULACAN,163
2017,5,3,NUEVA ECIJA,38
2017,5,3,OLONGAPO CITY,17
2017,5,3,PAMPANGA,69
2017,5,3,TARLAC,107
2017,5,3,ZAMBALES,34
2017,5,5,ALBAY,14
2017,5,5,CAMARINES NORTE,2
2017,5,5,CAMARINES SUR,29
2017,5,5,CATANDUANES,1
2017,5,5,MASBATE,11
2017,5,5,NAGA CITY,23
2017,5,5,SORSOGON,4
2017,5,6,AKLAN,58
2017,5,6,ANTIQUE,19
2017,5,6,BACOLOD CITY,67
2017,5,6,CAPIZ,14
2017,5,6,ILOILO,36
2017,5,6,ILOILO CITY,5
2017,5,6,NEGROS OCCIDENTAL,131
2017,5,7,BOHOL,47
2017,5,7,CEBU,206
2017,5,7,CEBU CITY,132
2017,5,7,LAPU-LAPU CITY (OPON),57
2017,5,7,MANDAUE CITY,21
2017,5,7,NEGROS ORIENTAL,135
2017,5,7,SIQUIJOR,4
2017,5,8,BILIRAN,10
2017,5,8,EASTERN SAMAR,26
2017,5,8,LEYTE,84
2017,5,8,NORTHERN SAMAR,6
2017,5,8,ORMOC CITY,33
2017,5,8,SAMAR (WESTERN SAMAR),34
2017,5,8,SOUTHERN LEYTE,30
2017,5,8,TACLOBAN CITY,34
2017,5,9,CITY OF ISABELA,33
2017,5,9,ZAMBOANGA CITY,189
2017,5,9,ZAMBOANGA DEL NORTE,48
2017,5,9,ZAMBOANGA DEL SUR,42
2017,5,9,ZAMBOANGA SIBUGAY,25
2017,5,10,BUKIDNON,177
2017,5,10,CAGAYAN DE ORO CITY,89
2017,5,10,CAMIGUIN,4
2017,5,10,ILIGAN CITY,9
2017,5,10,LANAO DEL NORTE,22
2017,5,10,MISAMIS OCCIDENTAL,46
2017,5,10,MISAMIS ORIENTAL,59
2017,5,11,DAVAO CITY,131
2017,5,11,DAVAO DE ORO,33
2017,5,11,DAVAO DEL NORTE,59
2017,5,11,DAVAO DEL SUR,21
2017,5,11,DAVAO OCCIDENTAL,5
2017,5,11,DAVAO ORIENTAL,22
2017,5,12,COTABATO (NORTH COTABATO),224
2017,5,12,GENERAL SANTOS CITY (DADIANGAS),122
2017,5,12,SARANGANI,107
2017,5,12,SOUTH COTABATO,307
2017,5,12,SULTAN KUDARAT,57
2017,5,4A,BATANGAS,99
2017,5,4A,CAVITE,104
2017,5,4A,LAGUNA,127
2017,5,4A,LUCENA CITY,2
2017,5,4A,QUEZON,62
2017,5,4A,RIZAL,107
2017,5,4B,OCCIDENTAL MINDORO,38
2017,5,4B,ORIENTAL MINDORO,26
2017,5,4B,PALAWAN,31
2017,5,4B,PUERTO PRINCESA CITY,10
2017,5,4B,ROMBLON,6
2017,5,BARMM,BASILAN,23
2017,5,BARMM,COTABATO CITY,20
2017,5,BARMM,LANAO DEL SUR,1
2017,5,BARMM,MAGUINDANAO,1
2017,5,BARMM,SULU,2
2017,5,BARMM,TAWI-TAWI,9
2017,5,CAR,ABRA,10
2017,5,CAR,APAYAO,10
2017,5,CAR,BAGUIO CITY,14
2017,5,CAR,BENGUET,17
2017,5,CAR,IFUGAO,18
2017,5,CAR,KALINGA,12
2017,5,CAR,MOUNTAIN PROVINCE,1
2017,5,CARAGA,AGUSAN DEL NORTE,26
2017,5,CARAGA,AGUSAN DEL SUR,37
2017,5,CARAGA,BUTUAN CITY,14
2017,5,CARAGA,DINAGAT ISLANDS,2
2017,5,CARAGA,SURIGAO DEL NORTE,32
2017,5,CARAGA,SURIGAO DEL SUR,57
2017,5,NCR,CALOOCAN CITY,97
2017,5,NCR,CITY OF LAS PIÑAS,12
2017,5,NCR,CITY OF MAKATI,24
2017,5,NCR,CITY OF MALABON,46
2017,5,NCR,CITY OF MANDALUYONG,9
2017,5,NCR,CITY OF MANILA,71
2017,5,NCR,CITY OF MARIKINA,10
2017,5,NCR,CITY OF MUNTINLUPA,10
2017,5,NCR,CITY OF NAVOTAS,10
2017,5,NCR,CITY OF PARAÑAQUE,16
2017,5,NCR,CITY OF PASIG,22
2017,5,NCR,CITY OF SAN JUAN,4
2017,5,NCR,CITY OF VALENZUELA,28
2017,5,NCR,PASAY CITY,5
2017,5,NCR,QUEZON CITY,284
2017,5,NCR,TAGUIG CITY,12
2017,6,1,DAGUPAN CITY,49
2017,6,1,ILOCOS NORTE,12
2017,6,1,ILOCOS SUR,58
2017,6,1,LA UNION,43
2017,6,1,PANGASINAN,379
2017,6,2,CAGAYAN,41
2017,6,2,CITY OF SANTIAGO,8
2017,6,2,ISABELA,150
2017,6,2,NUEVA VIZCAYA,173
2017,6,2,QUIRINO,12
2017,6,3,ANGELES CITY,31
2017,6,3,AURORA,64
2017,6,3,BATAAN,81
2017,6,3,BULACAN,431
2017,6,3,NUEVA ECIJA,70
2017,6,3,OLONGAPO CITY,15
2017,6,3,PAMPANGA,134
2017,6,3,TARLAC,130
2017,6,3,ZAMBALES,185
2017,6,5,ALBAY,47
2017,6,5,CAMARINES NORTE,16
2017,6,5,CAMARINES SUR,76
2017,6,5,CATANDUANES,7
2017,6,5,MASBATE,5
2017,6,5,NAGA CITY,44
2017,6,5,SORSOGON,10
2017,6,6,AKLAN,118
2017,6,6,ANTIQUE,72
2017,6,6,BACOLOD CITY,173
2017,6,6,CAPIZ,21
2017,6,6,GUIMARAS,1
2017,6,6,ILOILO,104
2017,6,6,ILOILO CITY,16
2017,6,6,NEGROS OCCIDENTAL,373
2017,6,7,BOHOL,78
2017,6,7,CEBU,298
2017,6,7,CEBU CITY,188
2017,6,7,LAPU-LAPU CITY (OPON),70
2017,6,7,MANDAUE CITY,27
2017,6,7,NEGROS ORIENTAL,148
2017,6,7,SIQUIJOR,11
2017,6,8,BILIRAN,8
2017,6,8,EASTERN SAMAR,27
2017,6,8,LEYTE,65
2017,6,8,NORTHERN SAMAR,12
2017,6,8,ORMOC CITY,47
2017,6,8,SAMAR (WESTERN SAMAR),23
2017,6,8,SOUTHERN LEYTE,34
2017,6,8,TACLOBAN CITY,39
2017,6,9,CITY OF ISABELA,64
2017,6,9,ZAMBOANGA CITY,522
2017,6,9,ZAMBOANGA DEL NORTE,58
2017,6,9,ZAMBOANGA DEL SUR,65
2017,6,9,ZAMBOANGA SIBUGAY,24
2017,6,10,BUKIDNON,213
2017,6,10,CAGAYAN DE ORO CITY,135
2017,6,10,CAMIGUIN,1
2017,6,10,ILIGAN CITY,10
2017,6,10,LANAO DEL NORTE,16
2017,6,10,MISAMIS OCCIDENTAL,90
2017,6,10,MISAMIS ORIENTAL,63
